ACTION,GOTO
ClosureId,!,!=,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,UFLOAT,UINT,^,do,double,id,if,int,printf,scanf,then,while,{,||,},#,ANDITEM,ASSIGN,B,BANDTERM,BFACTOR,BORTERM,EXPR,FACTOR,ID,ITEM,L,M,MUL_DIV,N,NOITEM,ORITEM,PLUS_MINUS,PRINTF,PRINTF_BEGIN,PROG,REL,RELITEM,SCANF,SCANF_BEGIN,STATEMENT,SUBPROG,T,VARIABLE,VARIABLES
146,s61,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,201,,,,,,,67,68,69,,,,,70,,72,,,,,73,,,,,,,
147,,r37,r37,,,r37,r37,,r37,r37,,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,r37,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,,,,,,,,67,68,202,,,,,,,72,,,,,,,,,,,,
149,,,r43,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,s203,,,,,,,,,,,,,,,,,,,,,,,,,,s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,r42,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,s207,s208,,,,s209,,,,,,,,,,,,,,,205,,,,206,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,s21,,,s22,s23,,s24,s25,,s26,s27,,,,,13,,,,,,,14,,,,,,,,,15,16,,,,17,18,211,,,,
156,,,,,,,,,,,,,,,,,,,,r3,,,r3,r3,,r3,r3,,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,s35,,,s36,,,,,,,,,,,,,,s42,s43,,,,s44,,,,,,,,,,,,,,38,39,212,,,41,,,,,,,,,,,,,,,,,,,,
158,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,r48,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,r47,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,r46,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,s35,,,s36,,,,,,,,,,,,,,s42,s43,,,,s44,,,,,,,,,,,,,,213,39,,,,41,,,,,,,,,,,,,,,,,,,,
164,,,r43,,,,,,,,,,,,,,,,,,r43,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,s214,,,,,,,,,,,,,,,,,,,,,,,,,,s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,s219,s220,,,,s221,,,,,,,,,,,,,,,217,,,,218,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,
